"sample_id"	"assigned"	"assigned_frac"	"atac_date"	"clone"	"condition"	"diff_start"	"donor"	"EB_formation"	"macrophage_diff_days"	"medium_changes"	"mt_frac"	"percent_duplication"	"received_as"	"sex"	"short_long_ratio"
"babk_D"	5507093	0.210921230312979	"2015-12-04"	2	"IFNg_SL1344"	"2015-10-12"	"babk"	"2015-10-09"	56	10	0.456376650921142	0.214115	"alive/frozen"	"female"	3.93397533197864
"bima_D"	23275756	0.677443730848284	"2014-12-12"	1	"IFNg_SL1344"	"2014-11-07"	"bima"	"2014-11-04"	38	6	0.117519740693119	0.079756	"alive"	"male"	2.9130719846891
"cicb_D"	19751751	0.579721263614574	"2015-04-24"	3	"IFNg_SL1344"	"2015-03-30"	"cicb"	"2015-03-27"	28	6	0.155462480193979	0.066931	"frozen"	"male"	1.78650919136278
"coyi_D"	6733642	0.31185057682225	"2015-11-05"	3	"IFNg_SL1344"	"2015-09-30"	"coyi"	"2015-09-27"	39	7	0.385297241068573	0.1026	"frozen"	"female"	2.53084184878867
"diku_D"	7010213	0.195160647410325	"2015-11-13"	1	"IFNg_SL1344"	"2015-10-15"	"diku"	"2015-10-12"	32	6	0.193993747097176	0.06893	"frozen"	"female"	3.76757978572267
"eipl_D"	16923025	0.519579168206653	"2015-08-04"	1	"IFNg_SL1344"	"2015-06-30"	"eipl"	"2015-06-27"	38	7	0.13988117725185	0.06944	"frozen"	"female"	1.93265133137896
"eiwy_D"	9807860	0.4044462839792	"2015-12-02"	1	"IFNg_SL1344"	"2015-10-23"	"eiwy"	"2015-10-20"	43	7	0.302453957654079	0.090776	"frozen"	"female"	1.75613407276057
"eofe_D"	25687477	0.645688915687569	"2014-12-12"	1	"IFNg_SL1344"	"2014-11-01"	"eofe"	"2014-10-29"	44	8	0.142640514763618	0.080655	"alive"	"female"	2.63757415618575
"fafq_D"	4600004	0.414696506879133	"2015-10-14"	1	"IFNg_SL1344"	"2015-09-16"	"fafq"	"2015-09-13"	31	5	0.169076649746682	0.087027	"frozen"	"male"	1.92922628617947
"febc_D"	31712153	0.430018180628596	"2015-08-04"	2	"IFNg_SL1344"	"2015-07-06"	"febc"	"2015-07-03"	32	6	0.400115313238623	0.106825	"frozen"	"female"	1.45678159498552
"fikt_D"	12120655	0.43249826902993	"2015-11-05"	3	"IFNg_SL1344"	"2015-10-03"	"fikt"	"2015-09-30"	36	5	0.301717390025625	0.090902	"frozen"	"female"	1.68462488275924
"guss_D"	13876015	0.433140013544195	"2015-11-18"	1	"IFNg_SL1344"	"2015-10-16"	"guss"	"2015-10-13"	36	5	0.356285810649081	0.080022	"frozen"	"female"	2.03502060233313
"hayt_D"	20369487	0.628709157220539	"2015-10-09"	1	"IFNg_SL1344"	"2015-09-12"	"hayt"	"2015-09-09"	30	6	0.309818415540119	0.102584	"frozen"	"male"	1.92932077333801
"hehd_D"	3964874	0.192481936100666	"2015-11-05"	2	"IFNg_SL1344"	"2015-09-30"	"hehd"	"2015-09-27"	39	8	0.248352910302544	0.097714	"frozen"	"female"	3.58283704670194
